c_value,delta_value,pearson_correlation,p-value
0.0,0.6,,
0.0,0.62,,
0.0,0.64,,
0.0,0.66,,
0.0,0.68,,
0.0,0.7,,
0.0,0.72,,
0.0,0.74,,
0.0,0.76,,
0.0,0.78,,
0.0,0.8,,
0.0,0.82,,
0.0,0.84,,
0.0,0.86,,
0.0,0.88,,
0.0,0.9,,
0.0,0.92,,
0.0,0.94,,
0.0,0.96,,
0.0,0.98,,
0.02,0.6,0.44310713326787243,1.843316684281826e-25
0.02,0.62,0.32626265750182504,7.268603745552106e-14
0.02,0.64,0.3436175668604944,2.651505066012307e-15
0.02,0.66,0.31884369039977445,2.81030209408565e-13
0.02,0.68,0.27870771518218007,2.2591964497015845e-10
0.02,0.7,0.30157357916551186,5.677844267409887e-12
0.02,0.72,0.2666087838235468,1.3903091594444489e-09
0.02,0.74,0.3439309301091905,2.4928015481144973e-15
0.02,0.76,0.30138238131775796,5.863554041631849e-12
0.02,0.78,0.3291386476589081,4.2600306936164843e-14
0.02,0.8,0.2688712808832766,9.965374278264683e-10
0.02,0.82,0.2391942046316711,6.165181413837827e-08
0.02,0.84,0.30354669919711236,4.067596475240471e-12
0.02,0.86,0.2332463398415851,1.3244597790515655e-07
0.02,0.88,0.1982044353855965,7.99684151070359e-06
0.02,0.9,0.20789977180121078,2.7525664687943242e-06
0.02,0.92,0.21900324847283184,7.615976754482591e-07
0.02,0.94,0.2270735517333405,2.866799895833223e-07
0.02,0.96,0.2456875328255036,2.6137212893838994e-08
0.02,0.98,0.23700370569323687,8.18988877269387e-08
0.04,0.6,0.7896864158322705,9.784808728565205e-108
0.04,0.62,0.802284174185077,1.1550757188703837e-113
0.04,0.64,0.7294480396649146,3.6203051143337164e-84
0.04,0.66,0.7744942275003357,4.162392069007769e-101
0.04,0.68,0.7146652731310794,2.4668253858024796e-79
0.04,0.7,0.7016652672925525,2.4831126303808374e-75
0.04,0.72,0.6825035388554517,8.204194472642938e-70
0.04,0.74,0.615923917789056,1.509647383761533e-53
0.04,0.76,0.6275156626081524,4.264033748174187e-56
0.04,0.78,0.5956422513963826,2.4670580990245917e-49
0.04,0.8,0.6395534821742481,7.345537388320639e-59
0.04,0.82,0.6083696043632185,6.078183414706521e-52
0.04,0.84,0.5599493243852621,1.3175275799926646e-42
0.04,0.86,0.574360776497129,3.180575273029455e-45
0.04,0.88,0.5395101417065375,4.1597830100016436e-39
0.04,0.9,0.5591131827276334,1.8522630597172355e-42
0.04,0.92,0.5848213621966524,3.3116356603936057e-47
0.04,0.94,0.5295618042307709,1.7271163888855982e-37
0.04,0.96,0.5110713372404815,1.2772872823591014e-34
0.04,0.98,0.4195982570191644,9.637106512346856e-23
0.06,0.6,0.9557764398232979,7.567004598345033e-267
0.06,0.62,0.956257916732197,5.266466912825439e-268
0.06,0.64,0.9507986074449433,1.3810034661306454e-255
0.06,0.66,0.9364763844773674,9.514692979386878e-229
0.06,0.68,0.929653057489629,4.2957626987288365e-218
0.06,0.7,0.9241175494721763,3.281677259627872e-210
0.06,0.72,0.9175166346273456,1.470967069991767e-201
0.06,0.74,0.9047387789087696,1.060552684042174e-186
0.06,0.76,0.894070567120742,7.985565527377652e-176
0.06,0.78,0.8750990852656692,4.3516635382851965e-159
0.06,0.8,0.8825815203375976,2.4276003004502075e-165
0.06,0.82,0.8640568793934843,1.467415595609365e-150
0.06,0.84,0.8643685462515961,8.635127705449237e-151
0.06,0.86,0.8314760515273248,3.229426324695329e-129
0.06,0.88,0.8152662232158276,3.072862704668659e-120
0.06,0.9,0.8390537748017259,9.472919582507102e-134
0.06,0.92,0.7829782710258304,9.626740702963484e-105
0.06,0.94,0.7917125438339663,1.1613291039581223e-108
0.06,0.96,0.7522176483647385,2.8382238174377894e-92
0.06,0.98,0.77399447928531,6.738244752599256e-101
0.08,0.6,0.9847034045598169,0.0
0.08,0.62,0.982975484765322,0.0
0.08,0.64,0.9821572961980731,0.0
0.08,0.66,0.9776579605780247,0.0
0.08,0.68,0.9783668746865393,0.0
0.08,0.7,0.9788586879053849,0.0
0.08,0.72,0.9751157074653076,0.0
0.08,0.74,0.9715163761674113,1.46257307477e-313
0.08,0.76,0.9684212868376043,1.4177294379418528e-302
0.08,0.78,0.9695291845127842,2.2380461195445683e-306
0.08,0.8,0.9611123753390111,1.8468080914223538e-280
0.08,0.82,0.9624149987986899,4.50014156931906e-284
0.08,0.84,0.9599782513830382,2.0561404574474708e-277
0.08,0.86,0.9549395234781685,7.250956513861999e-265
